Silver Futures Historical Data
Date,Price,Open,High,Low,Vol.,Change %,Candle %
"Sep 13, 2015",15.154,14.51,15.265,14.265,0.11K,4.58%,4.250%
"Sep 06, 2015",14.49,14.63,14.865,14.28,0.52K,-0.37%,-0.966%
"Aug 30, 2015",14.544,14.51,14.925,14.39,2.85K,0.06%,0.234%
"Aug 23, 2015",14.535,14.65,14.7,14.045,13.27K,-5.01%,-0.791%
"Aug 16, 2015",15.301,15.465,15.505,15.465,0.25K,0.60%,-1.072%
"Aug 09, 2015",15.21,14.89,15.51,14.89,0.03K,2.66%,2.104%
"Aug 02, 2015",14.816,14.73,14.73,14.415,0.27K,0.47%,0.580%
"Jul 26, 2015",14.746,14.61,14.865,14.56,0.34K,1.86%,0.922%
"Jul 19, 2015",14.477,14.715,14.905,14.33,0.36K,-2.31%,-1.644%
"Jul 12, 2015",14.82,15.495,15.495,14.825,0.34K,-4.19%,-4.555%
"Jul 05, 2015",15.468,15.55,15.695,14.74,1.65K,-0.44%,-0.530%
"Jun 28, 2015",15.537,15.935,16,15.415,21.97K,-1.26%,-2.562%
"Jun 21, 2015",15.735,16.1,16.1,15.725,0.03K,-2.29%,-2.320%
"Jun 14, 2015",16.104,16.2,16.2,16.2,0.05K,1.81%,-0.596%
"Jun 07, 2015",15.818,16.035,16.06,15.835,0.03K,-0.96%,-1.372%
"May 31, 2015",15.971,16.635,17.1,15.94,0.05K,-4.27%,-4.158%
"May 24, 2015",16.684,16.995,17.08,16.555,0.37K,-2.03%,-1.864%
"May 17, 2015",17.03,17.62,17.71,16.905,0.27K,-2.94%,-3.464%
"May 10, 2015",17.545,16.475,17.545,16.215,0.47K,6.71%,6.099%
"May 03, 2015",16.442,16.15,16.695,16.15,0.38K,2.05%,1.776%
"Apr 26, 2015",16.111,15.935,16.7,15.815,19.76K,3.07%,1.092%
"Apr 19, 2015",15.631,15.92,15.92,15.92,0.00K,-3.64%,-1.849%
"Apr 12, 2015",16.221,16.15,16.285,16.15,0.04K,-0.91%,0.438%
"Apr 05, 2015",16.37,17.035,17.08,16.235,0.32K,-1.89%,-4.062%
"Mar 29, 2015",16.686,16.755,16.755,16.585,0.08K,-2.15%,-0.414%
"Mar 22, 2015",17.052,16.7,17.325,16.67,0.70K,1.10%,2.064%
"Mar 15, 2015",16.867,15.69,16.82,15.45,0.23K,8.98%,6.978%
"Mar 08, 2015",15.477,15.8,15.91,15.27,0.49K,-1.95%,-2.087%
"Mar 01, 2015",15.784,16.585,16.73,15.745,0.96K,-4.41%,-5.075%
"Feb 22, 2015",16.513,16.295,16.86,16.295,19.34K,1.54%,1.320%
"Feb 15, 2015",16.263,16.405,16.43,16.305,0.02K,-5.87%,-0.873%
"Feb 08, 2015",17.278,16.84,17.04,16.82,0.04K,3.60%,2.535%
"Feb 01, 2015",16.678,17.32,17.6,17.205,0.08K,-2.99%,-3.849%
"Jan 25, 2015",17.192,18.11,18.11,16.81,0.07K,-5.97%,-5.340%
"Jan 18, 2015",18.284,17.955,18.355,17.955,0.07K,3.07%,1.799%
"Jan 11, 2015",17.739,17,17.77,16.9,0.69K,8.26%,4.166%
"Jan 04, 2015",16.386,16.48,16.55,16.48,0.01K,4.14%,-0.574%
"Dec 28, 2014",15.734,15.95,16.355,15.535,0.17K,-2.35%,-1.373%
"Dec 21, 2014",16.112,16.08,16.115,15.58,0.09K,0.76%,0.199%
"Dec 14, 2014",15.991,16.81,16.85,15.83,0.14K,-6.04%,-5.122%
"Dec 07, 2014",17.019,16.13,17.18,16.13,0.98K,5.08%,5.224%
"Nov 30, 2014",16.196,15.39,16.68,14.1,2.88K,4.56%,4.977%
"Nov 23, 2014",15.489,16.43,16.65,15.365,28.67K,-5.50%,-6.075%
"Nov 16, 2014",16.391,16.391,16.391,16.391,0.01K,0.50%,0.000%
"Nov 09, 2014",16.31,15.72,16.305,15.595,0.12K,3.89%,3.617%
"Nov 02, 2014",15.699,16.035,16.035,15.045,0.13K,-2.35%,-2.140%
"Oct 26, 2014",16.077,16.35,16.35,15.86,0.50K,-6.18%,-1.698%
"Oct 19, 2014",17.136,17.46,17.5,17.115,0.05K,-0.84%,-1.891%
"Oct 12, 2014",17.282,17.41,17.7,17.01,0.07K,0.17%,-0.741%
"Oct 05, 2014",17.252,17.03,17.6,17.03,0.29K,2.81%,1.287%
"Sep 28, 2014",16.78,17.505,17.53,16.8,0.49K,-3.99%,-4.321%
"Sep 21, 2014",17.477,17.7,17.735,17.355,0.43K,-1.71%,-1.276%
"Sep 14, 2014",17.781,18.615,18.69,17.81,0.63K,-4.12%,-4.690%
"Sep 07, 2014",18.546,19.205,19.25,18.465,0.55K,-2.81%,-3.553%
"Aug 31, 2014",19.082,19.405,19.47,18.985,0.71K,-1.63%,-1.693%
"Aug 24, 2014",19.398,19.36,19.875,19.345,22.31K,0.19%,0.196%
"Aug 17, 2014",19.361,19.555,19.555,19.285,0.02K,-0.66%,-1.002%
"Aug 10, 2014",19.49,19.87,19.87,19.53,0.02K,-2.07%,-1.950%
"Aug 03, 2014",19.902,20.35,20.36,19.925,0.04K,-2.11%,-2.251%
"Jul 27, 2014",20.332,20.635,20.695,20.295,0.36K,-1.24%,-1.490%
"Jul 20, 2014",20.588,21,21.07,20.435,0.30K,-1.20%,-2.001%
"Jul 13, 2014",20.838,21.205,21.205,20.675,0.27K,-2.68%,-1.761%
"Jul 06, 2014",21.411,21.1,21.525,20.82,0.56K,1.53%,1.453%
"Jun 29, 2014",21.089,20.96,21.28,20.765,3.51K,0.06%,0.612%
"Jun 22, 2014",21.077,21.105,21.205,20.9,17.33K,0.64%,-0.133%
"Jun 15, 2014",20.942,19.755,20.95,19.67,0.03K,6.65%,5.668%
"Jun 08, 2014",19.637,19.05,19.535,19.05,0.01K,3.55%,2.989%
"Jun 01, 2014",18.963,18.75,19.05,18.675,0.08K,1.66%,1.123%
"May 25, 2014",18.653,19.35,19.395,18.605,0.50K,-3.79%,-3.737%
"May 18, 2014",19.388,19.555,19.745,19.27,0.34K,0.50%,-0.861%
"May 11, 2014",19.292,19.1,19.915,19.1,0.75K,1.13%,0.995%
"May 04, 2014",19.077,19.475,19.72,19.02,0.73K,-2.13%,-2.086%
"Apr 27, 2014",19.492,19.56,19.6,18.75,21.26K,-0.98%,-0.349%
"Apr 20, 2014",19.685,19.395,19.76,19.1,0.21K,0.51%,1.473%
"Apr 13, 2014",19.586,19.955,19.955,19.475,0.02K,-1.74%,-1.884%
"Apr 06, 2014",19.933,19.945,20.215,19.74,0.09K,0.03%,-0.060%
"Mar 30, 2014",19.927,19.94,19.94,19.94,0.23K,0.78%,-0.065%
"Mar 23, 2014",19.772,20.16,20.16,19.63,0.43K,-2.53%,-1.962%
"Mar 16, 2014",20.286,21.37,21.39,20.25,0.30K,-5.13%,-5.344%
"Mar 09, 2014",21.384,20.8,21.71,20.6,0.44K,2.33%,2.731%
"Mar 02, 2014",20.897,21.35,21.68,20.76,1.94K,-1.45%,-2.168%
"Feb 23, 2014",21.204,21.245,21.48,20.985,17.45K,-2.63%,-0.193%
"Feb 16, 2014",21.777,21.825,21.895,21.7,0.14K,1.71%,-0.220%
"Feb 09, 2014",21.411,20.17,21.425,20.17,0.02K,7.48%,5.796%
"Feb 02, 2014",19.92,19.13,20.045,19.09,0.44K,4.27%,3.966%
"Jan 26, 2014",19.105,19.8,19.8,19.06,0.26K,-3.23%,-3.638%
"Jan 19, 2014",19.743,20.3,20.31,19.83,0.21K,-2.59%,-2.821%
"Jan 12, 2014",20.267,20.3,20.53,20.01,0.60K,0.33%,-0.163%
"Jan 05, 2014",20.201,20.24,20.25,19.37,0.09K,0.09%,-0.193%
"Dec 29, 2013",20.182,19.835,20.32,18.935,0.30K,0.84%,1.719%
"Dec 22, 2013",20.013,19.43,20,19.35,0.15K,3.06%,2.913%
"Dec 15, 2013",19.418,19.5,20.2,19.1,0.26K,-0.72%,-0.422%
"Dec 08, 2013",19.559,19.465,20.4,19.405,0.69K,0.48%,0.481%
"Dec 01, 2013",19.465,19.91,19.91,18.845,3.61K,-2.58%,-2.286%
"Nov 24, 2013",19.981,19.93,20.08,19.585,28.69K,0.63%,0.255%
"Nov 17, 2013",19.856,20.4,20.4,20.135,0.02K,-4.16%,-2.740%
"Nov 10, 2013",20.717,20.65,21.335,20.475,0.03K,-2.77%,0.323%
"Nov 03, 2013",21.307,21.64,21.785,21.32,0.08K,-2.28%,-1.563%
"Oct 27, 2013",21.804,22.535,23,21.795,0.11K,-3.53%,-3.353%
"Oct 20, 2013",22.603,22.22,22.815,22.185,0.05K,3.36%,1.694%
"Oct 13, 2013",21.869,21.5,22.08,20.675,0.04K,3.08%,1.687%
"Oct 06, 2013",21.215,21.71,22.37,21.195,0.09K,-2.26%,-2.333%
"Sep 29, 2013",21.705,21.7,21.85,20.795,0.36K,-0.36%,0.023%
"Sep 22, 2013",21.783,21.825,21.875,21.355,0.42K,-0.43%,-0.193%
"Sep 15, 2013",21.876,22.235,23.275,21.21,0.61K,0.95%,-1.641%
"Sep 08, 2013",21.67,24,24,21.465,0.93K,-9.11%,-10.752%
"Sep 01, 2013",23.842,23.2,24.46,22.995,2.87K,1.62%,2.693%
"Aug 25, 2013",23.463,24.15,24.985,23.385,22.01K,-1.14%,-2.928%
"Aug 18, 2013",23.733,23.08,23.755,22.86,0.04K,1.78%,2.751%
"Aug 11, 2013",23.317,21.195,23.21,21.195,0.12K,14.30%,9.101%
"Aug 04, 2013",20.399,19.78,20.295,19.46,0.27K,2.49%,3.034%
"Jul 28, 2013",19.903,19.895,20.05,19.395,0.16K,0.70%,0.040%
"Jul 21, 2013",19.765,19.525,20.52,19.525,0.48K,1.63%,1.214%
"Jul 14, 2013",19.448,20.1,20.1,19.24,0.80K,-1.67%,-3.353%
"Jul 07, 2013",19.779,18.92,20.14,18.765,1.00K,5.62%,4.343%
"Jun 30, 2013",18.726,19.485,20.06,18.685,1.59K,-3.73%,-4.053%
"Jun 23, 2013",19.451,20.055,20.055,18.185,23.27K,-2.54%,-3.105%
"Jun 16, 2013",19.958,21.87,21.915,19.59,0.06K,-9.09%,-9.580%
"Jun 09, 2013",21.953,21.63,22.07,21.52,0.21K,0.99%,1.471%
"Jun 02, 2013",21.737,22.335,22.87,21.58,0.29K,-2.21%,-2.751%
"May 26, 2013",22.228,22.595,22.93,22.14,0.52K,-1.13%,-1.651%
"May 19, 2013",22.482,22.28,22.8,21.01,0.27K,0.64%,0.898%
"May 12, 2013",22.339,23.71,23.72,22.075,0.65K,-5.47%,-6.137%
